Trial_Number,Block_Number,Block_Condition,Cue_Type,Shape_meaning,RT,Response,Accuracy,Robo_Duration,Trial_Duration,Handover_result
1,2,1,3,0,0.859191636562173,1,0,0,9.38679777632847,0
2,2,1,3,0,0.822280793548998,1,0,0,9.94990098444527,0
3,2,1,1,0,4.42988149251141,1,1,13.2958135010831,23.7528714190069,1
4,2,1,2,0,1.47616745482264,1,1,13.9602888758363,24.2388599079876,1
5,2,1,3,0,0.811685984832366,1,0,0,4.33509218407494,0
6,2,1,3,0,0.702017235409585,1,0,0,10.2258497805874,0
7,2,1,2,0,1.32239548028338,1,1,14.3613241682324,29.5730217660987,1
8,2,1,1,0,6.19980514483177,1,1,13.4936524501099,18.5163764637797,1
9,2,1,3,0,0.779815583729942,1,0,0,4.29644836835262,0
10,2,1,3,0,1.08755650527382,1,0,0,10.2079044343506,0
11,2,1,1,0,6.09697461204632,1,1,13.3636002588228,24.4313645604194,1
12,2,1,3,0,0.978381791019274,1,0,0,4.49437136751821,0
13,2,1,2,0,1.35344142010035,1,1,14.6603309329857,33.1531290872187,1
14,2,1,1,0,6.47300402574547,1,1,13.8574605886661,18.9274249507649,1
15,2,1,1,0,4.68928748900908,1,1,13.6015478057616,18.6838713878891,1
16,2,1,1,0,4.14641983301044,1,1,13.5938508020208,18.6643756053134,1
17,2,1,1,0,5.58494405372585,1,1,14.0050285722355,19.6131557073733,1
18,2,1,2,0,1.1672661922421,1,1,13.8987596830084,25.4072681555518,1
19,2,1,2,0,1.08710032474846,1,1,14.7855274643462,27.0819896271863,1
20,2,1,2,0,1.2527823964374,1,1,14.1950261565962,24.8766625165574,1
21,2,1,2,0,1.00625082807164,1,1,14.6133565294604,23.6939538757219,1
